document_id,name_comp,year,href_doc,status
a4c40c53-6543-4ff4-b0b8-14fee361ad93,IAG International Airlines Group,2022,https://www.iairgroup.com/~/media/Files/I/IAG/annual-reports/iag-annual-reports/en/annual-report-and-accounts-2022.pdf,downloaded_manually
a5cb3d7a-276f-4418-8b34-dc97f76d887f,Sagax,2018,https://www.sagax.se/sites/default/files/pr/2018-ar.pdf,downloaded_manually
ae5352c0-6bb5-4e2e-8c00-7c2411a796d0,Heineken Holding,2022,https://www.heinekenholding.com/sites/heinekenholding/files/Investors/financial-information/results-reports-presentations/20230214-1917-Heineken-Holding-NV-AR-2022.pdf,downloaded_manually
b5b2b78d-2101-42b9-a108-38baf8659faf,Bachem,2022,https://www.bachem.com/about-bachem/investors-and-media/reports-and-presentations/,downloaded_manually
b65587b6-591d-498d-8588-2516668ca56a,Investor AB,2018,https://vp053.alertir.com/afw/files/press/investor/201903293936-1.pdf,downloaded_manually
b7241a7e-c646-411a-9aa4-5a77dd2b2685,Zurich,2020,https://www.zurich.com/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2020/annual-report-2020-en.pdf,downloaded_manually
bbe2a671-c44b-4e70-bd54-3f6388e8fede,Thule Group,2022,https://www.thulegroup.com/sites/default/files/pr/20230331-eb5cbba9-6537-41f4-b46b-d30106eebb87-1.pdf,downloaded_manually
bc8b8749-99ad-4c1e-9e0e-10ae5f81984c,Sagax,2022,https://www.sagax.se/sites/default/files/pr/202304179804-1.pdf?ts=1681797102,downloaded_manually
bcae82a3-adb5-42f6-af84-f3d9be45a6cd,RS Group,2022,https://www.rsgroup.com/sites/rsgroup/files/2022-06/2022%20ARA/RS_GROUP_AR_2022_Spreads.pdf,downloaded_manually
bd1c4117-1f3e-4056-8f0e-f4ccbd93d2d6,IHG InternContinental Hotels Group,2018,https://www.ihgplc.com/-/media/ihg/annualreports/2018/online-ar-page-downloads/ihg_2018ar.pdf?la=en&hash=CCBA9704737C4A9149BD1DA027AA1782,downloaded_manually
bf50ce1d-f49c-48b3-b653-6768cf3676b2,Netcompany,2022,https://netcompany.com/investor/financials/,problem_manual_download
bf695f60-d85f-4b76-9f44-59835f6d0c61,Hays,2021,https://www.haysplc.com/~/media/Files/H/Hays/annual-reports/ar-2021/Hays%20Annual%20Report%202021.pdf,downloaded_manually
c3e6e92a-354a-4e94-8cec-790595de456d,Hexpol,2019,https://vp300.alertir.com/afw/files/press/hexpol/202004020942-1.pdf,downloaded_manually
c450e8fc-817d-46e4-9d14-d4ae6a233dd6,Relx,2019,https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/2019-annual-report.pdf,downloaded_manually
c4a6d2b1-6d07-4b2e-bf0c-31de7b1c409c,Hays,2020,https://www.haysplc.com/~/media/Files/H/Hays/annual-reports/ar-2020/annual-report-2020-08-10.pdf,downloaded_manually
c68b1393-6981-437c-9ef5-f1e0929c00fb,SKF,2018,https://investors.skf.com/sites/default/files/pr/201903065678-1.pdf,downloaded_manually
c6beb2ab-53b1-4257-aa51-59be4ab80c3f,Legal & General,2019,https://group.legalandgeneral.com/media/2sdnhwdo/240101077_lg_ar2019_web-ready_lo-1.pdf,downloaded_manually
c6ea603b-daf3-42c9-acad-1868d2aa73ed,Latour,2019,https://vp302.alertir.com/sites/default/files/report/latour_annual_report_2019_-_final_version_web_0.pdf,downloaded_manually
c8b1dcd9-cb2b-4088-8129-76a1e0f86d47,Victrex,2019,https://www.victrexplc.com/wp-content/uploads/2020/01/Victrex-plc-Annual-Report-2019.pdf,downloaded_manually
cac4fb44-1f44-4ee1-b3bf-04c65c763b34,IMI,2019,https://www.imiplc.com/sites/imi-corp/files/2020/annualreport-2019.pdf,downloaded_manually
cb3bd105-82ba-4f0b-bfce-f46553a3ef21,Relx,2018,https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/2018-annual-report.pdf,downloaded_manually
ce0fa125-673e-470e-b351-d98f38337554,Lundbergs,2022,https://www.lundbergforetagen.se/sites/default/files/files/Lundbergs_Annual%20Report%202022_english_low.pdf,downloaded_manually
ce992b66-770a-4877-b866-1dedbf02810b,Encavis,2021,https://www.encavis.com/Dokumente/IR/Finanzberichte/Encavis%20AG/Gesch%C3%A4ftsjahr%202021/20220331-Encavis-Annual-Report-2021-EN.pdf,downloaded_manually
cf6b2a38-d30c-4fc8-b637-ec49d007d8ca,Svenska Handelsbanken,2020,https://vp292.alertir.com/afw/files/press/handelsbanken/202102237659-1.pdf,downloaded_manually
d0c2e1bf-0d21-43c8-b9a6-d1b118bfa963,Indutrade,2018,https://vp299.alertir.com/afw/files/press/indutrade/201903283247-1.pdf,downloaded_manually
d2cc87fa-084d-4be7-93dd-fce38d0c364c,Harbour Energy,2021,https://www.harbourenergy.com/media/qx5bquys/hrb-ar21-web.pdf,downloaded_manually
d5111d6b-8cd0-43be-8b4f-56d60499086b,IMI,2022,https://www.imiplc.com/sites/imi-corp-rev2/files/2023-03/imi-ara-2022-web-version.pdf,downloaded_manually
d661074f-a580-456d-ba66-161585711f8b,WPP,2022,https://www.wpp.com/-/media/project/wpp/files/investors/2023/annual-report/wpp_ar2022_o_.pdf?la=en,downloaded_manually
d6ae2d46-7ec3-4f19-8910-7f08166e2ec2,Aixtron,2022,https://www.aixtron.com/investoren/publikationen/2022/en/Annual%20Report-2022.pdf,downloaded_manually
d6fa2424-f6c3-4a42-bd15-0949d72c670e,IMI,2020,https://www.imiplc.com/sites/imi-corp/files/2021/annual-report-2020.pdf,downloaded_manually
d93e9cc0-1fbb-4028-81bc-67cc089cf1c3,Qiagen,2018,https://financialreport.qiagen.com/2018/sites/default/files/downloads/qiagen_financial_report_complete.pdf,downloaded_manually
d9941620-8212-4af6-ad51-e9d4ae78ff66,Investor AB,2022,https://vp053.alertir.com/afw/files/press/investor/202303237230-1.pdf,downloaded_manually
da35dcd0-8058-48d1-a5de-ae1b7f3dfd49,Legal & General,2018,https://group.legalandgeneral.com/media/w1qjgrpo/242100698_lg_ar18_290419_web_ready.pdf,downloaded_manually
db8d9ee1-3214-4b07-be19-629088084ffc,Sagax,2020,https://vp261.alertir.com/afw/files/press/sagax/202104138226-1.pdf,downloaded_manually
dba303ca-9919-46df-870d-478b8aac70ac,Investor AB,2019,https://vp053.alertir.com/afw/files/press/investor/202003263627-1.pdf,downloaded_manually
dc99b3ce-7323-42c9-82d1-d7571a99eae7,Vodafone,2020,https://investors.vodafone.com/sites/vodafone-ir/files/vodafone/annual-report/vodafone-annual-report-2020.pdf,downloaded_manually
dd00b0d8-c3e9-415f-87eb-60090b3efef2,Ackermanns & Van Haaren,2021,https://www.avh.be/sites/avh/files/2022-03/AvH-annual-report-2021.pdf,downloaded_manually
dd972053-30a2-400c-a669-00ff1189c624,Pearson,2020,https://plc.pearson.com/sites/pearson-corp/files/annual-reports/Pearson_AR20_Online_210426.pdf,downloaded_manually
ddbfb9bb-6ccd-4023-975a-7e52609f5974,Londonmetric Property PLC,2019,https://www.londonmetric.com/sites/london-metric/files/report-presentation/2019/Londonmetric-properties-ar2019-web.pdf,downloaded_manually
de371e01-aa57-435e-9704-bbb46c6f14f0,RS Group,2021,https://www.rsgroup.com/sites/rsgroup/files/2021-07/annual-report-2021-amended.pdf,downloaded_manually
e02a2e24-8980-4edd-802c-fe8e5a7e41c5,Michelin,2022,https://www.michelin.com/en/documents/2022-universal-registration-document/,downloaded_manually
e0ac3afc-af81-4349-8231-c21a0da88d47,Lundbergs,2020,http://www.lundbergforetagen.se/sites/default/files/files/Lundbergs_AnnualReport2020_webb_1.pdf,downloaded_manually
e21896db-d1c0-42c9-ab00-638b7f39793d,Londonmetric Property PLC,2018,https://www.londonmetric.com/sites/london-metric/files/report-presentation/2018/Londonmetric-ar-2018.pdf,downloaded_manually
e351d1be-e251-4e21-a952-f9df67957f4d,Aurubis,2021,https://author-live-aurubis-webpre.de.magnolia-cloud.com/aurubis-com/en/dam/jcr:82674d01-ed29-4669-a37d-7fd22d386f80/Aurubis_Annual%20Report_FY_20_21.pdf,downloaded_manually
e3a78bfd-b5cf-4c0e-8907-4238085fd010,Temenos,2019,https://www.temenos.com/wp-content/uploads/2020/03/2019-Annual-Report-2020-mar-25.pdf,downloaded_manually
e403cd9d-bc3f-4138-9548-bc3f049d162a,RWE,2019,https://www.rwe.com/-/media/RWE/documents/05-investor-relations/finanzkalendar-und-veroeffentlichungen/2019-Q4/20-03-12-RWE-annual-report-2019.pdf,downloaded_manually
e4655b28-e7ac-4065-851b-8bd1126abcc3,Bachem,2021,https://www.bachem.com/download/385/fy/240336/bachem-annual-report-2021-en-3,downloaded_manually
e5601018-8088-4418-8aa1-178f6e86499b,Spirax-Sarco Engineering,2022,https://www.spiraxsarcoengineering.com/sites/spirax-sarco-corp/files/2023-03/2022-Annual-Report.pdf,downloaded_manually
e59bfdbf-6ef3-4540-a95a-6dca60fb0849,Thule Group,2020,https://www.thulegroup.com/sites/default/files/pr/20210331-02e61dc1-8530-4c24-9e87-978ab6a4d989-1.pdf,downloaded_manually
e5b0a31a-28cc-484f-b06b-d5e78563b07f,Latour,2022,https://vp302.alertir.com/sites/default/files/report/latour_annual_report_and_sustainability_report_2022_web.pdf,downloaded_manually
e5d9ded9-697a-46f1-97e9-0ae5fb8835f2,Inditex,2021,https://static.inditex.com/annual_report_2021/en/documents/annual_report_2021.pdf,downloaded_manually
e6f32084-5eed-409a-8119-fdbd8cda584f,Relx,2020,https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/2020-annual-report.pdf,downloaded_manually
e723cda9-5bf0-44d7-911f-8c96a349a723,IMI,2021,https://www.imiplc.com/sites/imi-corp-rev2/files/2022/imi_ar_2021.pdf,downloaded_manually
e8b32c9b-f0d8-4f97-ae95-64b530e8bbca,SAP,2022,https://www.sap.com/docs/download/investors/2022/sap-2022-integrated-report.pdf,downloaded_manually
e9634780-c379-4481-a302-a62be93c9504,Hexpol,2020,https://vp300.alertir.com/afw/files/press/hexpol/202103311957-1.pdf,downloaded_manually
ea781073-906b-46c7-8031-36674f9d4f66,Nokia,2020,https://www.nokia.com/system/files/2021-03/Nokia_Form_20F_2020.pdf,downloaded_manually
eb104aec-0fc1-4d3c-a90d-340e1d41aab9,Tomra,2021,https://www.tomra.com/-/media/project/tomra/tomra/investor-relations/annual-reports/tomra-annual-report-2021_single-page.pdf,downloaded_manually
ec1e0f55-1309-4b58-9a50-bf67b688ebce,IHG InternContinental Hotels Group,2021,https://www.ihgplc.com/en/-/media/ihg/annualreports/2021-annual-report/pdf/ihg_2021_annual-report.pdf,downloaded_manually
